Time_sec,Distance_cm,Volume_Calibrated_mL,FlowSensor_Calibrated_L_per_min
0.002,10,450,0
0.505,9,487.5,0
1.008,10,450,0.544913743498325
1.512,9,487.5,0.544913743498325
2.016,10,450,0.575186729248231
2.519,10,450,0.575186729248231
3.022,9,487.5,0.575186729248231
3.526,10,450,0.575186729248231
4.03,12,375,0.544913743498325
4.533,11,412.5,0.544913743498325
5.037,12,375,0.575186729248231
5.54,12,375,0.575186729248231
6.044,11,412.5,0.555004738748294
6.548,11,412.5,0.555004738748294
7.051,11,412.5,0.555004738748294
7.555,11,412.5,0.555004738748294
8.058,11,412.5,0.575186729248231
8.562,12,375,0.575186729248231
9.066,11,412.5,0.544913743498325
9.57,15,262.5,0.544913743498325
10.074,14,300,0.555004738748294
10.577,14,300,0.555004738748294
11.081,14,300,0.555004738748294
11.584,14,300,0.555004738748294
12.088,13,337.5,0.544913743498325
12.592,12,375,0.544913743498325
13.095,13,337.5,0.524731752998387
13.599,13,337.5,0.524731752998387
14.103,13,337.5,0.544913743498325
14.607,13,337.5,0.544913743498325
15.111,14,300,0.544913743498325
15.614,14,300,0.544913743498325
16.118,14,300,0.524731752998387
16.622,14,300,0.524731752998387
17.126,14,300,0.544913743498325
17.63,15,262.5,0.544913743498325
18.134,14,300,0.524731752998387
18.637,14,300,0.524731752998387
19.141,15,262.5,0.555004738748294
19.645,14,300,0.555004738748294
20.149,14,300,0.524731752998387
20.653,15,262.5,0.524731752998387
21.156,15,262.5,0.524731752998387
21.66,15,262.5,0.524731752998387
22.164,15,262.5,0.524731752998387
22.668,15,262.5,0.524731752998387
23.172,15,262.5,0.544913743498325
23.675,15,262.5,0.544913743498325
24.18,16,225,0.49445876724848
24.684,15,262.5,0.49445876724848
25.188,15,262.5,0.524731752998387
25.692,16,225,0.524731752998387
26.195,16,225,0.524731752998387
26.699,16,225,0.524731752998387
27.203,16,225,0.524731752998387
27.707,17,187.5,0.524731752998387
28.211,17,187.5,0.524731752998387
28.716,17,187.5,0.524731752998387
29.219,17,187.5,0.524731752998387
29.723,18,150,0.524731752998387
30.227,18,150,0.49445876724848
30.731,17,187.5,0.49445876724848
31.236,17,187.5,0.524731752998387
31.739,18,150,0.524731752998387
32.243,18,150,0.49445876724848
32.747,18,150,0.49445876724848
33.251,18,150,0.49445876724848
33.756,18,150,0.49445876724848
34.259,19,112.5,0.524731752998387
34.763,18,150,0.524731752998387
35.267,19,112.5,0.49445876724848
35.772,19,112.5,0.49445876724848
36.276,18,150,0.49445876724848
36.78,19,112.5,0.49445876724848
37.284,19,112.5,0.49445876724848
37.788,19,112.5,0.49445876724848
38.292,20,75,0.49445876724848
38.796,20,75,0.49445876724848
39.301,20,75,0.49445876724848
39.804,20,75,0.49445876724848
40.308,19,112.5,0.49445876724848
40.813,19,112.5,0.49445876724848
41.317,20,75,0.49445876724848
41.821,20,75,0.49445876724848
42.326,20,75,0.464185781498573
42.829,20,75,0.464185781498573
43.333,20,75,0.49445876724848
43.838,20,75,0.49445876724848
44.342,20,75,0.49445876724848
44.846,20,75,0.49445876724848
45.35,21,37.5,0.464185781498573
45.854,21,37.5,0.464185781498573
46.359,20,75,0.49445876724848
46.863,21,37.5,0.49445876724848
47.367,21,37.5,0.464185781498573
47.872,21,37.5,0.464185781498573
48.375,21,37.5,0.464185781498573
48.879,21,37.5,0.464185781498573
49.384,21,37.5,0.464185781498573
49.888,22,0,0.464185781498573
50.393,22,0,0.464185781498573
50.896,22,0,0.464185781498573
51.401,22,0,0.403639809998759
51.905,22,0,0.403639809998759
52.41,22,0,0.141273933499566
52.914,22,0,0.141273933499566
53.417,22,0,0.0302729857499069
53.922,22,0,0.0302729857499069
