2,10,0.00
505,9,0.00
1009,11,12.76
1512,9,12.76
2016,9,13.97
2519,9,13.97
3022,9,14.61
3526,9,14.61
4030,9,13.98
4533,10,13.98
5037,9,14.58
5540,10,14.58
6043,11,14.00
6547,10,14.00
7051,11,13.97
7555,11,13.97
8058,11,13.98
8562,12,13.98
9066,12,13.98
9569,13,13.98
10074,15,14.58
10577,14,14.58
11081,12,13.38
11584,12,13.38
12088,12,13.97
12592,13,13.97
13095,12,13.98
13599,12,13.98
14103,13,13.97
14607,12,13.97
15111,13,13.97
15614,14,13.97
16118,13,13.38
16622,13,13.38
17126,14,13.97
17630,13,13.97
18134,14,13.36
18637,14,13.36
19141,15,13.38
19645,14,13.38
20149,15,13.36
20653,15,13.36
21157,15,13.98
21661,15,13.98
22165,15,13.35
22669,15,13.35
23173,15,13.36
23676,16,13.36
24180,15,13.38
24684,16,13.38
25189,17,13.36
25693,18,13.36
26196,18,13.36
26700,19,13.36
27205,17,12.74
27709,18,12.74
28213,18,13.36
28717,17,13.36
29221,17,13.36
29725,18,13.36
30229,17,12.76
30733,18,12.76
31238,18,13.35
31741,17,13.35
32245,18,12.77
32749,18,12.77
33254,17,13.35
33758,18,13.35
34262,19,12.76
34766,19,12.76
35270,18,12.76
35774,19,12.76
36279,19,12.76
36783,19,12.76
37286,19,12.76
37790,19,12.76
38295,20,12.74
38799,20,12.74
39304,20,12.74
39808,20,12.74
40311,20,12.77
40816,20,12.77
41320,21,12.74
41825,20,12.74
42329,20,12.14
42832,21,12.14
43337,21,12.76
43841,22,12.76
44346,21,12.74
44850,22,12.74
45355,21,12.14
45858,22,12.14
46363,21,12.76
46867,21,12.76
47372,21,10.92
47876,21,10.92
48380,21,4.26
48884,21,4.26
49388,21,0.61
49893,21,0.61
50397,21,0.61
50902,21,0.61
51405,21,0.00
51909,21,0.00
52414,21,0.00
52918,21,0.00
