Time_sec,Distance_cm,Volume_Calibrated_mL,FlowSensor_Calibrated_L_per_min
0.002,10,450,0
0.505,10,450,0
1.009,10,450,0.548225433337948
1.512,11,412.5,0.548225433337948
2.016,9,487.5,0.634787343864993
2.52,11,412.5,0.634787343864993
3.022,10,450,0.605933373689312
3.526,9,487.5,0.605933373689312
4.03,12,375,0.634787343864993
4.534,11,412.5,0.634787343864993
5.037,10,450,0.605933373689312
5.54,11,412.5,0.605933373689312
6.044,11,412.5,0.605933373689312
6.548,10,450,0.605933373689312
7.051,12,375,0.57707940351363
7.555,12,375,0.57707940351363
8.058,11,412.5,0.605933373689312
8.562,12,375,0.605933373689312
9.066,11,412.5,0.57707940351363
9.569,11,412.5,0.57707940351363
10.073,12,375,0.57707940351363
10.576,12,375,0.57707940351363
11.08,12,375,0.57707940351363
11.584,13,337.5,0.57707940351363
12.088,12,375,0.57707940351363
12.592,13,337.5,0.57707940351363
13.095,13,337.5,0.57707940351363
13.599,12,375,0.57707940351363
14.103,13,337.5,0.548225433337948
14.606,14,300,0.548225433337948
15.111,13,337.5,0.57707940351363
15.613,14,300,0.57707940351363
16.118,14,300,0.57707940351363
16.621,15,262.5,0.57707940351363
17.126,14,300,0.57707940351363
17.629,14,300,0.57707940351363
18.134,15,262.5,0.548225433337948
18.637,14,300,0.548225433337948
19.141,15,262.5,0.57707940351363
19.645,15,262.5,0.57707940351363
20.149,16,225,0.548225433337948
20.653,15,262.5,0.548225433337948
21.156,16,225,0.57707940351363
21.66,19,112.5,0.57707940351363
22.164,16,225,0.548225433337948
22.668,16,225,0.548225433337948
23.173,15,262.5,0.548225433337948
23.676,16,225,0.548225433337948
24.18,16,225,0.57707940351363
24.684,17,187.5,0.57707940351363
25.188,16,225,0.548225433337948
25.692,17,187.5,0.548225433337948
26.195,17,187.5,0.548225433337948
26.699,16,225,0.548225433337948
27.204,17,187.5,0.548225433337948
27.708,17,187.5,0.548225433337948
28.212,18,150,0.548225433337948
28.716,17,187.5,0.548225433337948
29.219,18,150,0.548225433337948
29.724,18,150,0.548225433337948
30.228,17,187.5,0.548225433337948
30.732,18,150,0.548225433337948
31.236,18,150,0.548225433337948
31.739,17,187.5,0.548225433337948
32.244,18,150,0.519371463162267
32.748,19,112.5,0.519371463162267
33.252,19,112.5,0.548225433337948
33.756,18,150,0.548225433337948
34.26,19,112.5,0.548225433337948
34.764,19,112.5,0.548225433337948
35.268,18,150,0.519371463162267
35.772,19,112.5,0.519371463162267
36.277,20,75,0.548225433337948
36.781,20,75,0.548225433337948
37.284,19,112.5,0.528989453220828
37.789,20,75,0.528989453220828
38.293,20,75,0.519371463162267
38.797,19,112.5,0.519371463162267
39.302,20,75,0.548225433337948
39.805,20,75,0.548225433337948
40.31,21,37.5,0.528989453220828
40.814,20,75,0.528989453220828
41.318,20,75,0.519371463162267
41.823,21,37.5,0.519371463162267
42.327,21,37.5,0.519371463162267
42.83,21,37.5,0.519371463162267
43.335,21,37.5,0.519371463162267
43.839,21,37.5,0.519371463162267
44.344,21,37.5,0.519371463162267
44.848,21,37.5,0.519371463162267
45.351,21,37.5,0.519371463162267
45.856,21,37.5,0.519371463162267
46.36,21,37.5,0.471281512869465
46.865,22,0,0.471281512869465
47.369,22,0,0.298157691815375
47.873,22,0,0.298157691815375
48.377,22,0,0.057707940351363
48.881,22,0,0.057707940351363
49.386,22,0,0
49.89,22,0,0
