
2,7,0.00
504,7,0.00
1008,7,0.00
1511,7,0.00
2015,7,0.00
2518,9,0.00
3021,8,2.43
3524,8,2.43
4028,9,12.16
4532,8,12.16
5035,8,14.59
5538,9,14.59
6042,9,14.61
6545,9,14.61
7049,9,13.97
7553,9,13.97
8055,9,14.00
8559,10,14.00
9063,9,13.97
9566,10,13.97
10070,11,13.98
10573,10,13.98
11077,11,13.98
11581,11,13.98
12085,12,13.97
12589,12,13.97
13092,12,14.00
13595,13,14.00
14100,14,13.36
14604,15,13.36
15108,12,13.97
15610,12,13.97
16114,12,13.98
16618,13,13.98
17122,12,13.36
17626,12,13.36
18129,13,13.38
18633,12,13.38
19137,13,13.97
19641,14,13.97
20145,13,13.36
20648,13,13.36
21152,14,13.38
21656,13,13.38
22160,14,13.97
22664,14,13.97
23168,14,13.36
23671,14,13.36
24175,15,13.38
24679,15,13.38
25184,15,13.36
25688,15,13.36
26191,15,12.76
26695,15,12.76
27199,15,13.36
27703,15,13.36
28207,15,13.36
28710,16,13.36
29215,15,12.77
29719,16,12.77
30223,19,13.35
30727,19,13.35
31232,17,12.77
31735,17,12.77
32239,18,13.35
32743,17,13.35
33248,17,12.76
33752,18,12.76
34255,17,12.76
34759,18,12.76
35264,18,12.76
35768,17,12.76
36272,18,13.35
36775,18,13.35
37280,19,12.77
37784,19,12.77
38288,19,12.74
38793,19,12.74
39297,19,12.14
39800,19,12.14
40305,19,12.77
40809,19,12.77
41313,19,12.74
41818,20,12.74
42321,20,12.15
42825,20,12.15
43330,20,12.74
43834,20,12.74
44339,20,12.15
44843,20,12.15
45346,21,12.76
45851,20,12.76
46355,21,12.14
46860,20,12.14
47364,21,12.14
47867,21,12.14
48372,21,12.76
48876,21,12.76
49381,22,12.14
49885,22,12.14
50390,21,12.14
50893,21,12.14
51398,22,10.93
51902,22,10.93
52407,22,4.85
52911,22,4.85
53415,22,0.61
53919,22,0.61
54424,22,0.00
54928,22,0.00
55433,22,0.61
55937,22,0.61
56440,22,0.00
