2,10,0.00
505,10,0.00
1009,10,0.57
1512,11,0.57
2016,9,0.66
2520,11,0.66
3022,10,0.63
3526,9,0.63
4030,12,0.66
4534,11,0.66
5037,10,0.63
5540,11,0.63
6044,11,0.63
6548,10,0.63
7051,12,0.60
7555,12,0.60
8058,11,0.63
8562,12,0.63
9066,11,0.60
9569,11,0.60
10073,12,0.60
10576,12,0.60
11080,12,0.60
11584,13,0.60
12088,12,0.60
12592,13,0.60
13095,13,0.60
13599,12,0.60
14103,13,0.57
14606,14,0.57
15111,13,0.60
15613,14,0.60
16118,14,0.60
16621,15,0.60
17126,14,0.60
17629,14,0.60
18134,15,0.57
18637,14,0.57
19141,15,0.60
19645,15,0.60
20149,16,0.57
20653,15,0.57
21156,16,0.60
21660,19,0.60
22164,16,0.57
22668,16,0.57
23173,15,0.57
23676,16,0.57
24180,16,0.60
24684,17,0.60
25188,16,0.57
25692,17,0.57
26195,17,0.57
26699,16,0.57
27204,17,0.57
27708,17,0.57
28212,18,0.57
28716,17,0.57
29219,18,0.57
29724,18,0.57
30228,17,0.57
30732,18,0.57
31236,18,0.57
31739,17,0.57
32244,18,0.54
32748,19,0.54
33252,19,0.57
33756,18,0.57
34260,19,0.57
34764,19,0.57
35268,18,0.54
35772,19,0.54
36277,20,0.57
36781,20,0.57
37284,19,0.55
37789,20,0.55
38293,20,0.54
38797,19,0.54
39302,20,0.57
39805,20,0.57
40310,21,0.55
40814,20,0.55
41318,20,0.54
41823,21,0.54
42327,21,0.54
42830,21,0.54
43335,21,0.54
43839,21,0.54
44344,21,0.54
44848,21,0.54
45351,21,0.54
45856,21,0.54
46360,21,0.49
46865,22,0.49
47369,22,0.31
47873,22,0.31
48377,22,0.06
48881,22,0.06
49386,22,0.00
49890,22,0.00
